pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,site,order,layout,collection,thumbnail,full
lev005,[Temporary Reproduction] Excerpt of My Africa by Michael Dei-Anan,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,72,exh_item,wadexh,Img/derivatives/simple/lev005/thumbnail.jpg,Img/derivatives/simple/lev005/fullwidth.jpg
lev006,[Temporary Reproduction] Annotated Version of Lift Ev'ry Voice and Sing ,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,73,exh_item,wadexh,Img/derivatives/simple/lev006/thumbnail.jpg,Img/derivatives/simple/lev006/fullwidth.jpg
lev007,"[Temporary Reproduction] Hand-copied poems by Langston Hughes, Gwendolyn Brooks, Claude McKay, and Julian Bond ",,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,74,exh_item,wadexh,Img/derivatives/simple/lev007/thumbnail.jpg,Img/derivatives/simple/lev007/fullwidth.jpg
lev008,[Temporary Reproduction] 3 Poems by Langston Hughes,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,75,exh_item,wadexh,Img/derivatives/simple/lev008/thumbnail.jpg,Img/derivatives/simple/lev008/fullwidth.jpg
lev009,[Temporary Reproduction] Annotated Version of Juke Box Song by Langston Hughes,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,76,exh_item,wadexh,Img/derivatives/simple/lev009/thumbnail.jpg,Img/derivatives/simple/lev009/fullwidth.jpg
lev010,[Temporary Reproduction] Teaching Notes - Assign Easter Homework,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,77,exh_item,wadexh,Img/derivatives/simple/lev010/thumbnail.jpg,Img/derivatives/simple/lev010/fullwidth.jpg
lev011,[Temporary Reproduction] Teaching Notes ,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,78,exh_item,wadexh,Img/derivatives/simple/lev011/thumbnail.jpg,Img/derivatives/simple/lev011/fullwidth.jpg
lev012,[Temporary Reproduction] Teaching Notes - Vocabulary Test,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,79,exh_item,wadexh,Img/derivatives/simple/lev012/thumbnail.jpg,Img/derivatives/simple/lev012/fullwidth.jpg
lev013,[Temporary Reproduction] Teaching Notes,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,80,exh_item,wadexh,Img/derivatives/simple/lev013/thumbnail.jpg,Img/derivatives/simple/lev013/fullwidth.jpg
lev014,[Temporary Reproduction] Teaching Notes,,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,81,exh_item,wadexh,Img/derivatives/simple/lev014/thumbnail.jpg,Img/derivatives/simple/lev014/fullwidth.jpg
lev015,"[Temporary Reproduction] Annotated Version of I, Too Sing America by Langston Hughes",,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,82,exh_item,wadexh,Img/derivatives/simple/lev015/thumbnail.jpg,Img/derivatives/simple/lev015/fullwidth.jpg
lev016,"[Temporary Reproduction] Required Reading List, 7 SP",,Doris Brunson,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,83,exh_item,wadexh,Img/derivatives/simple/lev016/thumbnail.jpg,Img/derivatives/simple/lev016/fullwidth.jpg
lev017,[Temporary Reproduction] Kinds of Homework,,Wadleigh Intermediate School,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection,,https://archives.nypl.org/scm/25606,,1960-1980,,,,image,wad,84,exh_item,wadexh,Img/derivatives/simple/lev017/thumbnail.jpg,Img/derivatives/simple/lev017/fullwidth.jpg
lew001,Deborah Lucas-Davis's Harlem,,Brittney Lewer,"Background map from United States Geological Survey, Topographical Map, 1966",,,,,,,,,,image,wad,39,exh_item,wadexh,img/derivatives/simple/lew001/thumbnail.jpg,img/derivatives/simple/lew001/fullwidth.jpg
