pid,label,description,creator,source,respository,papers,location,sourcelink,_data,publisher,_date,contributor,rights,relation,_type,site,school,order,layout,collection,thumbnail,full,manifest
card03,"Board of Education Nationalities Survey Form, Wadleigh High School [1938] ",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1938,,Public Domain,,,Wadleigh,Wadleigh High School ,2,documents,documents,"/img/derivatives/iiif/images/card03_card03_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/card03_card03_1/full/1140,/0/default.jpg",/img/derivatives/iiif/card03/manifest.json
card04,"Board of Education Nationalities Survey Form, Wadleigh High School [1940]",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1940,,Public Domain,,,Wadleigh,Wadleigh High School ,3,documents,documents,"/img/derivatives/iiif/images/card04_card04_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/card04_card04_1/full/1140,/0/default.jpg",/img/derivatives/iiif/card04/manifest.json
card05,"Board of Education Nationalities Survey Form, Wadleigh High School [1943] ",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1943,,Public Domain,,,Wadleigh,Wadleigh High School ,4,documents,documents,"/img/derivatives/iiif/images/card05_card05_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/card05_card05_1/full/1140,/0/default.jpg",/img/derivatives/iiif/card05/manifest.json
card02,"Board of Education Nationalities Survey Form, Wadleigh High School [1933] ",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1933,,Public Domain,,,Wadleigh,Wadleigh High School ,1,documents,documents,"/img/derivatives/iiif/images/card02_card02_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/card02_card02_1/full/1140,/0/default.jpg",/img/derivatives/iiif/card02/manifest.json
card01,"Board of Education Nationalities Survey Form, Wadleigh High School  [1931] ",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1931,,Public Domain,,,Wadleigh,Wadleigh High School ,0,documents,documents,"/img/derivatives/iiif/images/card01/full/250,/0/default.jpg","/img/derivatives/iiif/images/card01/full/1140,/0/default.jpg",/img/derivatives/iiif/card01/manifest.json
card07,"Board of Education Nationalities Survey Form, Wadleigh High School [1947]",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1947,,Public Domain,,,Wadleigh,Wadleigh High School ,6,documents,documents,"/img/derivatives/iiif/images/card07_card07_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/card07_card07_1/full/1140,/0/default.jpg",/img/derivatives/iiif/card07/manifest.json
card06,"Board of Education Nationalities Survey Form, Wadleigh High School [1945] ",,Board of Education of New York City ,,Municipal Archives of the City of New York ,"Nationalities Statistics Surveys, 1931-1947",Series 763,,https://docs.google.com/spreadsheets/d/1O4kai0ChXwnmVUDQHekEGXOkPXKGD0e4yOh8efiNEgU/edit?usp=sharing,,1945,,Public Domain,,,Wadleigh,Wadleigh High School ,5,documents,documents,"/img/derivatives/iiif/images/card06_card06_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/card06_card06_1/full/1140,/0/default.jpg",/img/derivatives/iiif/card06/manifest.json
