pid,label,creator,contributor,source,respository,papers,location,sourcelink,publisher,_date,rights,_tags,_type,site,school,_sourcetype,,order,layout,collection,thumbnail,manifest,full
wyb013,The Owl [June 1942],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,"Sc MG 746, Box 1, Folder 8",https://digitalcollections.nypl.org/items/6735eb30-31bc-0134-eaa0-00505686a51c,,June 1942,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,14,wyb,yb,"/img/derivatives/iiif/images/wyb013/full/250,/0/default.jpg",/img/derivatives/iiif/wyb013/manifest.json,"/img/derivatives/iiif/images/wyb013/full/1140,/0/default.jpg"
wyb014,The Owl [June 1943],Wadleigh High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,"Sc MG 746, Box 1, Folder 9",https://digitalcollections.nypl.org/items/a5e3d410-31bc-0134-db5e-00505686a51c,,June 1943,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,,,15,wyb,yb,"/img/derivatives/iiif/images/wyb014/full/250,/0/default.jpg",/img/derivatives/iiif/wyb014/manifest.json,"/img/derivatives/iiif/images/wyb014/full/1140,/0/default.jpg"
wyb015,Wadleigh Way [1957],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/dc9281e0-31bc-0134-e754-00505686a51c,,1957,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,23,wyb,yb,"/img/derivatives/iiif/images/wyb015/full/250,/0/default.jpg",/img/derivatives/iiif/wyb015/manifest.json,"/img/derivatives/iiif/images/wyb015/full/1140,/0/default.jpg"
wyb016,Wadleigh Way [1959],Wadleigh Junior High School,,,Wadleigh Secondary School Library,,,,,1959,,"student writing, photographs ",image,wad,Wadleigh Junior High School,pdf,,24,wyb,yb,"/img/derivatives/iiif/images/wyb016_IMG_0079/full/250,/0/default.jpg",/img/derivatives/iiif/wyb016/manifest.json,"/img/derivatives/iiif/images/wyb016_IMG_0079/full/1140,/0/default.jpg"
wyb017,Wadleigh Way [1960],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/1e781640-31bd-0134-02bd-00505686a51c,,1960,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,25,wyb,yb,"/img/derivatives/iiif/images/wyb017/full/250,/0/default.jpg",/img/derivatives/iiif/wyb017/manifest.json,"/img/derivatives/iiif/images/wyb017/full/1140,/0/default.jpg"
wyb018,Wadleigh Way [1962],Wadleigh Junior High School,,,Wadleigh Secondary School Library,,,,,1962,,"student writing, photographs ",image,wad,Wadleigh Junior High School,pdf,,26,wyb,yb,"/img/derivatives/iiif/images/wyb018_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb018/manifest.json,"/img/derivatives/iiif/images/wyb018_00/full/1140,/0/default.jpg"
wyb019,Wadleigh Way [1963],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/58143be0-31bd-0134-6cff-00505686a51c,,1963,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,27,wyb,yb,"/img/derivatives/iiif/images/wyb019/full/250,/0/default.jpg",/img/derivatives/iiif/wyb019/manifest.json,"/img/derivatives/iiif/images/wyb019/full/1140,/0/default.jpg"
wyb020,Wadleigh Way [1964],Wadleigh Junior High School,,,Wadleigh Secondary School Library,,,,,1964,,"student writing, photographs ",image,wad,Wadleigh Junior High School,pdf,,28,wyb,yb,"/img/derivatives/iiif/images/wyb020_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb020/manifest.json,"/img/derivatives/iiif/images/wyb020_00/full/1140,/0/default.jpg"
wyb021,Wadleigh Way [1965],Wadleigh Junior High School,,,Wadleigh Secondary School Library,,,,,1965,,"student writing, photographs ",image,wad,Wadleigh Junior High School,pdf,,29,wyb,yb,"/img/derivatives/iiif/images/wyb021_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb021/manifest.json,"/img/derivatives/iiif/images/wyb021_00/full/1140,/0/default.jpg"
wyb022,Wadleigh Way [1966],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/96f81fd0-31bd-0134-287b-00505686a51c,,1966,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,30,wyb,yb,"/img/derivatives/iiif/images/wyb022/full/250,/0/default.jpg",/img/derivatives/iiif/wyb022/manifest.json,"/img/derivatives/iiif/images/wyb022/full/1140,/0/default.jpg"
wyb023,Wadleigh Way [1967],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/af9301b0-31be-0134-dec1-00505686a51c,,1967,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,31,wyb,yb,"/img/derivatives/iiif/images/wyb023/full/250,/0/default.jpg",/img/derivatives/iiif/wyb023/manifest.json,"/img/derivatives/iiif/images/wyb023/full/1140,/0/default.jpg"
wyb024,Wadleigh Way [1971],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/02652ff0-363b-0134-63b3-00505686a51c,,1971,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,33,wyb,yb,"/img/derivatives/iiif/images/wyb024/full/250,/0/default.jpg",/img/derivatives/iiif/wyb024/manifest.json,"/img/derivatives/iiif/images/wyb024/full/1140,/0/default.jpg"
