pid,label,description,creator,source,respository,papers,location,sourcelink,publisher,_date,contributor,rights,relation,_type,site,sourcecoll,sourceid,linkbase,,order,layout,collection,thumbnail,full
cyn014,The Story of a Play ,,Mamie Anderson,"Wadleigh Junior High School, The Wadleigh Way, 1965, p. 14-15",,,,www.wadleighhistory.org/wyb/wyb021,,1965,,,,image,wad,wyb/,wyb021,www.wadleighhistory.org/,,36,exh_item,wadexhsel,img/derivatives/simple/cyn014/thumbnail.jpg,img/derivatives/simple/cyn014/fullwidth.jpg
cyn020,Dedication,,,"Wadleigh Junior High School, The Wadleigh Way, 1966, p. 1",,,,www.wadleighhistory.org/wyb/wyb022,,1966,,,,image,wad,wyb/,wyb022,www.wadleighhistory.org/,,41,exh_item,wadexhsel,img/derivatives/simple/cyn020/thumbnail.jpg,img/derivatives/simple/cyn020/fullwidth.jpg
cyn015,Graduation,,Denise Warner,"Wadleigh Junior High School, The Wadleigh Way, 1964, p. 4",,,,www.wadleighhistory.org/wyb/wyb020,,1964,,,,image,wad,wyb/,wyb020,www.wadleighhistory.org/,,37,exh_item,wadexhsel,img/derivatives/simple/cyn015/thumbnail.jpg,img/derivatives/simple/cyn015/fullwidth.jpg
cyn016,A Message to Graduates,,Perry Spiro,"Wadleigh Junior High School, The Wadleigh Way, 1963, p. 3",,,,www.wadleighhistory.org/wyb/wyb019,,1963,,,,image,wad,wyb/,wyb019,www.wadleighhistory.org/,,38,exh_item,wadexhsel,img/derivatives/simple/cyn016/thumbnail.jpg,img/derivatives/simple/cyn016/fullwidth.jpg
cyn017,A Message from the Principal,,Perry Spiro,"Wadleigh Junior High School, The Wadleigh Way, 1964, p. 3",,,,www.wadleighhistory.org/wyb/wyb020,,1964,,,,image,wad,wyb/,wyb020,www.wadleighhistory.org/,,39,exh_item,wadexhsel,img/derivatives/simple/cyn017/thumbnail.jpg,img/derivatives/simple/cyn017/fullwidth.jpg
cyn019,Illustration,,Alice Fields,"Wadleigh Junior High School, The Wadleigh Way, 1965, frontispiece",,,,www.wadleighhistory.org/wyb/wyb021,,1965,,,,image,wad,wyb/,wyb021,www.wadleighhistory.org/,,40,exh_item,wadexhsel,img/derivatives/simple/cyn019/thumbnail.jpg,img/derivatives/simple/cyn019/fullwidth.jpg
cyn022,The Girl who Hated School ,,Loreen Mathias,"Wadleigh Junior High School, The Wadleigh Way, 1964, p. 12",,,,www.wadleighhistory.org/wyb/wyb020,,1964,,,,image,wad,wyb/,wyb020,www.wadleighhistory.org/,,6,exh_item,wadexhsel,img/derivatives/simple/cyn022/thumbnail.jpg,img/derivatives/simple/cyn022/fullwidth.jpg
cyn021,"John Fry, Adult of Tomorrow",,Michael Menzies,"Wadleigh Junior High School, The Wadleigh Way, 1963, p. 4",,,,www.wadleighhistory.org/wyb/wyb019,,1963,,,,image,wad,wyb/,wyb019,www.wadleighhistory.org/,,5,exh_item,wadexhsel,img/derivatives/simple/cyn021/thumbnail.jpg,img/derivatives/simple/cyn021/fullwidth.jpg
cyn023,Stay in School or be the New World's Rubbish,,Patricia Manning ,"Wadleigh Junior High School, The Wadleigh Way, 1965, p. 9",,,,www.wadleighhistory.org/wyb/wyb021,,1965,,,,image,wad,wyb/,wyb021,www.wadleighhistory.org/,,7,exh_item,wadexhsel,img/derivatives/simple/cyn023/thumbnail.jpg,img/derivatives/simple/cyn023/fullwidth.jpg
cyn035,Photograph of Wadleigh entrance ,,,"Wadleigh Junior High School, The Wadleigh Way, 1967, cover",,,,www.wadleighhistory.org/wyb/wyb023,,1967,,,,image,wad,wyb/,wyb023,www.wadleighhistory.org/,,8,exh_item,wadexhsel,img/derivatives/simple/cyn035/thumbnail.jpg,img/derivatives/simple/cyn035/fullwidth.jpg
may002,"Title Page, The Complete Report of Mayor LaGuardia's Commission",,Mayor LaGuardia's Commission on the Harlem Riot,"The Complete Report of Mayor LaGuardia's Commission on the Harlem Riot of March 19, 1935 (New York: Arno Press, 1969)",,,,www.harlemeducationhistory.library.columbia.edu/collection/gen/gen002,,1935,,,,image,gen,gen/,gen002,www.harlemeducationhistory.library.columbia.edu/collection/,,9,exh_item,wadexhsel,img/derivatives/simple/may002/thumbnail.jpg,img/derivatives/simple/may002/fullwidth.jpg
osh011,"Wadleigh on Parade, in Wadleigh High School, The Owl, 1940",,"Goldye Waters, accompaniment by Millicent Brown","Wadleigh High School, The Owl, June 1940",,,,www.wadleighhistory.org/wyb/wyb010,,June 1940,,,,image,wad,wyb/,wyb010,www.wadleighhistory.org/,,10,exh_item,wadexhsel,img/derivatives/simple/osh011/thumbnail.jpg,img/derivatives/simple/osh011/fullwidth.jpg
osh012,"Wadleigh on Parade, in Wadleigh High School, The Owl, 1940",,"Goldye Waters, accompaniment by Millicent Brown","Wadleigh High School, The Owl, June 1940",,,,www.wadleighhistory.org/wyb/wyb010,,June 1940,,,,image,wad,wyb/,wyb010,www.wadleighhistory.org/,,11,exh_item,wadexhsel,img/derivatives/simple/osh012/thumbnail.jpg,img/derivatives/simple/osh012/fullwidth.jpg
osh013,"Wadleigh High School Orchestra, The Owl, 1940",,,"Wadleigh High School, The Owl, June 1940",,,,www.wadleighhistory.org/wyb/wyb010,,June 1940,,,,image,wad,wyb/,wyb010,www.wadleighhistory.org/,,12,exh_item,wadexhsel,img/derivatives/simple/osh013/thumbnail.jpg,img/derivatives/simple/osh013/fullwidth.jpg
lew020,"Wadleigh Junior High School, The Wadleigh Way, 1963 [back cover] ",,,"Wadleigh Junior High School, The Wadleigh Way, 1963",,,,www.wadleighhistory.org/wyb/wyb019,,1963,,,,image,wad,wyb/,wyb019,www.wadleighhistory.org/,,13,exh_item,wadexhsel,img/derivatives/simple/lew020/thumbnail.jpg,img/derivatives/simple/lew020/fullwidth.jpg
lef040,"Wadleigh High School, The Owl, June 1942, page 49",,,"Wadleigh High School, The Owl,  June 1942",,,,www.wadleighhistory.org/wyb/wyb013,,June 1942,,,,image,wad,wyb/,wyb013,www.wadleighhistory.org/,,14,exh_item,wadexhsel,img/derivatives/simple/lef040/thumbnail.jpg,img/derivatives/simple/lef040/fullwidth.jpg
may008,"Harlem's Neighbors, page 1 ",,"Esther Heft, Anne Moscatello, Thelma Pollman; Illustration by Frances Varca","Wadleigh High School, The Owl, June 1938",,,,www.wadleighhistory.org/wyb/wyb008,,June 1938,,,,image,wad,wyb/,wyb008,www.wadleighhistory.org/,,15,exh_item,wadexhsel,img/derivatives/simple/may008/thumbnail.jpg,img/derivatives/simple/may008/fullwidth.jpg
may009,"Harlem's Neighbors, page 2",,"Esther Heft, Anne Moscatello, Thelma Pollman; Illustration by Frances Varca","Wadleigh High School, The Owl, June 1938",,,,www.wadleighhistory.org/wyb/wyb008,,June 1938,,,,image,wad,wyb/,wyb008,www.wadleighhistory.org/,,16,exh_item,wadexhsel,img/derivatives/simple/may009/thumbnail.jpg,img/derivatives/simple/may009/fullwidth.jpg
may010,"Harlem's Neighbors, page 3",,"Esther Heft, Anne Moscatello, Thelma Pollman; Illustration by Frances Varca","Wadleigh High School, The Owl, June 1938",,,,www.wadleighhistory.org/wyb/wyb008,,June 1938,,,,image,wad,wyb/,wyb008,www.wadleighhistory.org/,,17,exh_item,wadexhsel,img/derivatives/simple/may010/thumbnail.jpg,img/derivatives/simple/may010/fullwidth.jpg
may011,A Colored Soldier's Prayer ,,Cecilia Violenes,"Wadleigh High School, The Owl, June 1942",,,,www.wadleighhistory.org/wyb/wyb013,,June 1942,,,,image,wad,wyb/,wyb013,www.wadleighhistory.org/,,18,exh_item,wadexhsel,img/derivatives/simple/may011/thumbnail.jpg,img/derivatives/simple/may011/fullwidth.jpg
osh002,"Wadleigh High School, The Owl, June 1937, page 50",,,"Wadleigh High School, The Owl, 1939",,,,www.wadleighhistory.org/wyb/wyb006,,June 1937,,,,image,wad,wyb/,wyb006,www.wadleighhistory.org/,,0,exh_item,wadexhsel,img/derivatives/simple/osh002/thumbnail.jpg,img/derivatives/simple/osh002/fullwidth.jpg
osh007,"Wadleigh High School, The Owl, January 1937, page 98",,,"Wadleigh High School, The Owl, January 1937",,,,www.wadleighhistory.org/wyb/wyb005,,January 1937,,,,image,wad,wyb/,wyb005,www.wadleighhistory.org/,,1,exh_item,wadexhsel,img/derivatives/simple/osh007/thumbnail.jpg,img/derivatives/simple/osh007/fullwidth.jpg
may013,Alice in Wadleighland,,Edith Rachliss,"Wadleigh High School, The Owl, January 1935",,,,www.wadleighhistory.org/wyb/wyb002,,January 1935,,,,image,wad,wyb/,wyb002,www.wadleighhistory.org/,,2,exh_item,wadexhsel,img/derivatives/simple/may013/thumbnail.jpg,img/derivatives/simple/may013/fullwidth.jpg
cyn007,"Ghost Ship, part 1, p. 12",,Casper Shaw ,"Wadleigh Junior High School, The Wadleigh Way, 1966",,,,www.wadleighhistory.org/wyb/wyb022,,1966,,,,image,wad,wyb/,wyb022,www.wadleighhistory.org/,,3,exh_item,wadexhsel,img/derivatives/simple/cyn007/thumbnail.jpg,img/derivatives/simple/cyn007/fullwidth.jpg
cyn018,A Message from the Principal,,Perry Spiro,"Wadleigh Junior High School, The Wadleigh Way, 1967, p. 3",,,,www.wadleighhistory.org/wyb/wyb023,,1967,,,,image,wad,wyb/,wyb023,www.wadleighhistory.org/,,4,exh_item,wadexhsel,img/derivatives/simple/cyn018/thumbnail.jpg,img/derivatives/simple/cyn018/fullwidth.jpg
lev018,"[Temporary reproduction] Black history timeline, selected page ",,Fred White ,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,43,exh_item,wadexhsel,img/derivatives/simple/lev018/thumbnail.jpg,img/derivatives/simple/lev018/fullwidth.jpg
lev019,"[Temporary reproduction] Black history timeline, selected page ",,Fred White ,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,c. 1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,44,exh_item,wadexhsel,img/derivatives/simple/lev019/thumbnail.jpg,img/derivatives/simple/lev019/fullwidth.jpg
lev020,"[Temporary reproduction] Thurgood Marshall, in The Tale of the Mighty Warriors by Wadleigh Junior High School 88",,Kiesha Roberts,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,45,exh_item,wadexhsel,img/derivatives/simple/lev020/thumbnail.jpg,img/derivatives/simple/lev020/fullwidth.jpg
lev021,"[Temporary reproduction] Words of Wisdom, in The Tale of the Mighty Warriors by Wadleigh Junior High School 88 ",,Shirley M. Mayo,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,46,exh_item,wadexhsel,img/derivatives/simple/lev021/thumbnail.jpg,img/derivatives/simple/lev021/fullwidth.jpg
lev022,[Temporary reproduction] Black History and the Schools ,,Charles H. Harrison,"Ebony Magazine, December 1968, 111-114, 117",,,,https://books.google.com/books?id=r-EDAAAAMBAJ&lpg=PA79&dq=ebony%20magazine%20%22black%20history%20and%20the%20schools%22&pg=PA111#v=onepage&q=ebony%20magazine%20%22black%20history%20and%20the%20schools%22&f=false,,1968,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,47,exh_item,wadexhsel,img/derivatives/simple/lev022/thumbnail.jpg,img/derivatives/simple/lev022/fullwidth.jpg
lev023,"[Temporary reproduction] Norbert Rillieux and Wilma Rudolph, in The Tale of the Mighty Warriors by Wadleigh Junior High School 88 ",,Clyde Stanton and Nikia Wynn,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,48,exh_item,wadexhsel,img/derivatives/simple/lev023/thumbnail.jpg,img/derivatives/simple/lev023/fullwidth.jpg
lev024,"[Temporary reproduction] James Baldwin, in The Tale of the Mighty Warriors by Wadleigh Junior High School 88 ",,Rockmond Kemp,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,49,exh_item,wadexhsel,img/derivatives/simple/lev024/thumbnail.jpg,img/derivatives/simple/lev024/fullwidth.jpg
lev026,[Temporary reproduction] Table of Contents from The Tale of the Mighty Warriors ,,Wadleigh Junior High School 88,,"Schomburg Center for Research in Black Culture, NYPL",Wadleigh High School Collection ,,www.wadleighhistory.org/exh/lev,,1989,,,,image,wad,exh/,lev,www.wadleighhistory.org/,,50,exh_item,wadexhsel,img/derivatives/simple/lev026/thumbnail.jpg,img/derivatives/simple/lev026/fullwidth.jpg
